[['young','myope','reduced','none'],
['young','myope','normal','soft'],
['young','myope','reduced','none'],
['young','myope','normal','hard'],
['young','hypermetrope','reduced','none'],
['young','hypermetrope','normal','soft'],
['young','hypermetrope','reduced','none'],
['young','hypermetrope','normal','hard'],
['pre-presbyopic','myope','reduced','none'],
['pre-presbyopic','myope','normal','soft'],
['pre-presbyopic','myope','reduced','none'],
['pre-presbyopic','myope','normal','hard'],
['pre-presbyopic','hypermetrope','reduced','none'],
['pre-presbyopic','hypermetrope','normal','soft'],
['pre-presbyopic','hypermetrope','reduced','none'],
['pre-presbyopic','hypermetrope','normal','none'],
['presbyopic','myope','reduced','none'],
['presbyopic','myope','normal','none'],
['presbyopic','myope','reduced','none'],
['presbyopic','myope','normal','hard'],
['presbyopic','hypermetrope','reduced','none'],
['presbyopic','hypermetrope','normal','soft'],
['presbyopic','hypermetrope','reduced','none'],
['presbyopic','hypermetrope','normal','none']]
